Red,,Red Line,Rapid Transit,Red Line,Rail,2017-05-01,PEAK,Passenger Wait Time,76179.069849259,83070.045515716,
Red,,Red Line,Rapid Transit,Red Line,Rail,2017-05-01,OFF_PEAK,Passenger Wait Time,88869.656005672,95439.007414401,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2017-05-01,PEAK,Passenger Wait Time,72539.506412739,78425.429302924,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2017-05-01,OFF_PEAK,Passenger Wait Time,94883.097787189,100218.536546173,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2017-05-01,PEAK,Passenger Wait Time,8366.99455141,10035.119933616,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2017-05-01,OFF_PEAK,Passenger Wait Time,16552.76286512,19633.966717645,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2017-05-01,PEAK,Passenger Wait Time,13799.23629196,17626.8271513,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2017-05-01,OFF_PEAK,Passenger Wait Time,22351.870606658,28898.344503223,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2017-05-01,PEAK,Passenger Wait Time,14530.477739404,18663.167412417,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2017-05-01,OFF_PEAK,Passenger Wait Time,21366.58142195,26708.142459647,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2017-05-01,PEAK,Passenger Wait Time,18207.312816948,23393.644251348,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2017-05-01,OFF_PEAK,Passenger Wait Time,27914.307977164,35418.069302335,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2017-05-01,OFF_PEAK,Passenger Wait Time,41904.015905988,43658.927681489,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2017-05-01,PEAK,Passenger Wait Time,27987.410392786,29147.757862803,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2017-05-01,OFF_PEAK,Headway / Schedule Adherence,768,901,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2017-05-01,PEAK,Headway / Schedule Adherence,244,277,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2017-05-01,OFF_PEAK,Headway / Schedule Adherence,413,470,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2017-05-01,PEAK,Headway / Schedule Adherence,286,323,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2017-05-01,PEAK,Headway / Schedule Adherence,275,349,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2017-05-01,OFF_PEAK,Headway / Schedule Adherence,648,832,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2017-05-01,PEAK,Headway / Schedule Adherence,751,915,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2017-05-01,OFF_PEAK,Headway / Schedule Adherence,1587,1939,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2017-05-01,PEAK,Headway / Schedule Adherence,9,9,0
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2017-05-01,OFF_PEAK,Headway / Schedule Adherence,28,30,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2017-05-01,OFF_PEAK,Headway / Schedule Adherence,21,23,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2017-05-01,PEAK,Headway / Schedule Adherence,14,14,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2017-05-01,OFF_PEAK,Headway / Schedule Adherence,32,33,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2017-05-01,PEAK,Headway / Schedule Adherence,18,21,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2017-05-01,OFF_PEAK,Headway / Schedule Adherence,26,26,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2017-05-01,PEAK,Headway / Schedule Adherence,14,15,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2017-05-01,PEAK,Headway / Schedule Adherence,10,10,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2017-05-01,OFF_PEAK,Headway / Schedule Adherence,11,14,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2017-05-01,OFF_PEAK,Headway / Schedule Adherence,24,27,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2017-05-01,PEAK,Headway / Schedule Adherence,13,16,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2017-05-01,PEAK,Headway / Schedule Adherence,7,9,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2017-05-01,OFF_PEAK,Headway / Schedule Adherence,15,15,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2017-05-01,OFF_PEAK,Headway / Schedule Adherence,34,34,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2017-05-01,PEAK,Headway / Schedule Adherence,16,16,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2017-05-01,PEAK,Headway / Schedule Adherence,8,10,0
