Red,,Red Line,Rapid Transit,Red Line,Rail,2017-06-01,PEAK,Passenger Wait Time,81058.328558757,86600.090264208,
Red,,Red Line,Rapid Transit,Red Line,Rail,2017-06-01,OFF_PEAK,Passenger Wait Time,93417.437168773,98487.636483281,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2017-06-01,OFF_PEAK,Passenger Wait Time,89833.296902385,99387.184108749,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2017-06-01,PEAK,Passenger Wait Time,73599.764081603,78494.023484403,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2017-06-01,PEAK,Passenger Wait Time,8377.342750396,10641.270019254,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2017-06-01,OFF_PEAK,Passenger Wait Time,15499.12138873,18871.92517789,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2017-06-01,OFF_PEAK,Passenger Wait Time,21366.737754565,28317.34529001,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2017-06-01,PEAK,Passenger Wait Time,12807.51999545,17330.91148376,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2017-06-01,PEAK,Passenger Wait Time,14514.640559953,17926.157361818,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2017-06-01,OFF_PEAK,Passenger Wait Time,21547.984263872,26737.646040304,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2017-06-01,OFF_PEAK,Passenger Wait Time,27053.972189837,35118.537537999,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2017-06-01,PEAK,Passenger Wait Time,17942.0929133,22698.888107676,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2017-06-01,PEAK,Passenger Wait Time,28108.417939295,28885.834462291,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2017-06-01,OFF_PEAK,Passenger Wait Time,41047.398645839,42766.378681513,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2017-06-01,PEAK,Headway / Schedule Adherence,152,197,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2017-06-01,OFF_PEAK,Headway / Schedule Adherence,689,834,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2017-06-01,OFF_PEAK,Headway / Schedule Adherence,469,541,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2017-06-01,PEAK,Headway / Schedule Adherence,286,308,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2017-06-01,OFF_PEAK,Headway / Schedule Adherence,869,1200,
