Red,,Red Line,Rapid Transit,Red Line,Rail,2017-07-01,OFF_PEAK,Passenger Wait Time,86926.313270821,91197.811003996,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2017-07-01,OFF_PEAK,Passenger Wait Time,87788.969114258,91281.551303847,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2017-07-01,OFF_PEAK,Passenger Wait Time,21274.354663145,25755.414724057,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2017-07-01,OFF_PEAK,Passenger Wait Time,30142.620794918,39950.685206211,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2017-07-01,OFF_PEAK,Passenger Wait Time,20503.945642635,26182.349627123,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2017-07-01,OFF_PEAK,Passenger Wait Time,33320.662769562,42401.194881,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2017-07-01,OFF_PEAK,Passenger Wait Time,46599.968711355,48327.498875964,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2017-07-01,OFF_PEAK,Headway / Schedule Adherence,553,646,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2017-07-01,OFF_PEAK,Headway / Schedule Adherence,232,322,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2017-07-01,OFF_PEAK,Headway / Schedule Adherence,1366,1621,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2017-07-01,OFF_PEAK,Headway / Schedule Adherence,2646,3453,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2017-07-01,OFF_PEAK,Headway / Schedule Adherence,32,32,0
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2017-07-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2017-07-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2017-07-01,OFF_PEAK,Headway / Schedule Adherence,10,14,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2017-07-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2017-07-01,OFF_PEAK,Headway / Schedule Adherence,12,18,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2017-07-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2017-07-01,OFF_PEAK,Headway / Schedule Adherence,18,18,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2017-07-01,OFF_PEAK,Headway / Schedule Adherence,16,16,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2017-07-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2017-07-01,OFF_PEAK,Headway / Schedule Adherence,7,12,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2017-07-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2017-07-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2017-07-01,OFF_PEAK,Headway / Schedule Adherence,16,16,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2017-07-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2017-07-01,OFF_PEAK,Headway / Schedule Adherence,14,16,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2017-07-01,OFF_PEAK,Headway / Schedule Adherence,13,16,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2017-07-01,PEAK,Headway / Schedule Adherence,0,0,0
