Day,"High

(°F)","Low

(°F)","Precip.

(inch)","Snow

(inch)","Snow
depth
(inch)"
1 jan 2017,44.1,33.1,0.07,0,-
2 jan 2017,41,28.2,T,0,-
3 jan 2017,44.1,39.9,0.89,0,-
4 jan 2017,48,33.1,0.06,T,-
5 jan 2017,34,27.1,0,0,-
6 jan 2017,31.1,24.3,0.06,1.1,-
7 jan 2017,24.3,17.2,0.53,7.01,-
8 jan 2017,22.1,13.1,0.01,0.2,-
9 jan 2017,20.1,11.1,0,0,-
10 jan 2017,39,16.2,0.14,0,-
11 jan 2017,55,39,0.09,0,-
12 jan 2017,61,41,0.15,0,-
13 jan 2017,57.9,25.2,0,0,-
14 jan 2017,31.1,18.1,0,0,-
15 jan 2017,37,27.1,0,0,-
16 jan 2017,42.1,23.2,0,0,-
17 jan 2017,42.1,32,0.3,T,-
18 jan 2017,39.9,32,0.36,0,-
19 jan 2017,46,31.1,0,0,-
20 jan 2017,39.9,34,0,0,-
21 jan 2017,55,37,0,0,-
22 jan 2017,48,39,0.06,0,-
23 jan 2017,39.9,35.1,0.31,T,-
24 jan 2017,42.1,35.1,1.09,T,-
25 jan 2017,44.1,36,0.02,0,-
26 jan 2017,51.1,37,0.05,0,-
27 jan 2017,44.1,36,T,T,-
28 jan 2017,39.9,32,0,0,-
29 jan 2017,43,30.2,0,0,-
30 jan 2017,36,24.3,0,0,-
31 jan 2017,28.2,20.1,0.06,0.59,
1 feb 2017,43,27.1,0.05,0.79,-
2 feb 2017,39.9,29.1,0,0,-
3 feb 2017,33.1,25.2,0,0,-
4 feb 2017,33.1,21.2,0,0,-
5 feb 2017,44.1,26.2,0,0,-
6 feb 2017,39,32,0,0,-
7 feb 2017,37.9,33.1,0.44,1.18,-
8 feb 2017,52,25.2,0.02,0,-
9 feb 2017,39,11.1,1.25,10.91,-
10 feb 2017,25.2,11.1,T,T,-
11 feb 2017,30.2,15.3,0.21,3.19,-
12 feb 2017,35.1,19.2,0.77,1.5,-
13 feb 2017,34,24.3,0.09,2.2,-
14 feb 2017,34,22.1,0,0,-
15 feb 2017,39.9,27.1,0.22,0.12,-
16 feb 2017,35.1,27.1,0.07,1.61,-
17 feb 2017,41,23.2,0,0,-
18 feb 2017,48.9,26.2,0,0,-
19 feb 2017,59,39,0,0,-
20 feb 2017,48,33.1,0,0,-
21 feb 2017,39.9,30.2,0,0,-
22 feb 2017,55.9,37.9,0,0,-
23 feb 2017,68,39,0,0,-
24 feb 2017,73,46,0,0,-
25 feb 2017,69.1,48.9,0.1,0,-
26 feb 2017,48.9,32,0,0,-
27 feb 2017,55,30.2,0,0,-
28 feb 2017,51.1,39,0,0,
1 mar 2017,63,48,0.02,0,-
2 mar 2017,57.9,31.1,0,0,-
3 mar 2017,36,20.1,T,0.12,-
4 mar 2017,21.2,10.2,0,T,-
5 mar 2017,32,9.1,0,0,-
6 mar 2017,37,16.2,0,0,-
7 mar 2017,48,30.2,0.02,0,-
8 mar 2017,57,43,0.05,0,-
9 mar 2017,51.1,37.9,0,0,-
10 mar 2017,37.9,23.2,0.2,2.6,-
11 mar 2017,23.2,10.2,0.02,0.2,-
12 mar 2017,27.1,9.1,0,0,-
13 mar 2017,34,14.2,0,0,-
14 mar 2017,37.9,27.1,1.62,6.61,-
15 mar 2017,28.2,19.2,0,0,-
16 mar 2017,35.1,22.1,0,0,-
17 mar 2017,42.1,27.1,0,0,-
18 mar 2017,36,24.3,0,0,-
19 mar 2017,37.9,31.1,0.01,T,-
20 mar 2017,53.1,32,0,0,-
21 mar 2017,53.1,39.9,0,0,-
22 mar 2017,43,18.1,T,T,-
