date,ontime,high,low,precip,snow
2018-01-01,0.8815567114541619,13.1,0.1,0,0
2018-01-02,0.9231509573880089,19.2,4.1,0,0
2018-01-03,0.9087968072598134,29.1,16.2,0,0
2018-01-04,0.8618142321141316,30.2,22.1,1.35,13.39
2018-01-05,0.8342230999983808,24.3,6.3,0,0
2018-01-06,0.8583269751072825,12.2,1.2,0,0
2018-01-07,0.8895102489388604,17.2,-1.8,0,0
2018-01-08,0.8989639536808549,35.1,17.2,T,T
2018-01-09,0.9040175226275633,43.0,31.1,0,0
2018-01-10,0.9090310729116344,36.0,25.2,0,0
2018-01-11,0.910675232159697,51.1,33.1,0,0
2018-01-12,0.9106464096658914,60.1,39.0,0.62,0
2018-01-13,0.9271677008573705,61.0,19.2,1.24,0
2018-01-14,0.8825335452810404,23.2,14.2,0,0
2018-01-15,0.9234106207470137,21.2,12.2,T,0.31
2018-01-16,0.9292785101063396,33.1,20.1,0,0
2018-01-17,0.9206455542077923,34.0,31.1,0.21,1.69
2018-01-18,0.9116714900669863,32.0,21.2,0,0
2018-01-19,0.9070695500485393,34.0,23.2,0,0
2018-01-20,0.8886358681221136,46.9,29.1,0,0
2018-01-21,0.8977661295467952,48.9,34.0,0,0
2018-01-22,0.90962149102282,39.0,34.0,0.06,0
2018-01-23,0.9001676442791865,55.0,32.0,1.26,0
2018-01-24,0.9137279530936565,42.1,24.3,0,0
2018-01-25,0.9026752754707364,30.2,21.2,0,0
2018-01-26,0.8936415421892293,34.0,19.2,0,0
2018-01-27,0.913743900687225,53.1,25.2,0,0
2018-01-28,0.920236478030149,52.0,43.0,0.03,0
2018-01-29,0.9072727415715731,43.0,28.2,T,0.12
2018-01-30,0.9127476174794055,31.1,20.1,0.15,2.28
2018-01-31,0.9164650126900755,30.2,18.1,0,0
2018-02-01,0.9186651329327056,46.0,30.2,0.04,0
2018-02-02,0.917576185501104,37.9,12.2,0.25,0.12
2018-02-03,0.9295414589013505,28.2,10.2,0,0
2018-02-04,0.9108706535839511,43.0,26.2,0.29,0
2018-02-05,0.9217116024535594,43.0,24.3,0.36,0
2018-02-06,0.9184676776793131,34.0,22.1,T,T
2018-02-07,0.9109466814557787,43.0,23.2,0.65,2.09
2018-02-08,0.8750009301689256,34.0,22.1,0,0
2018-02-09,0.9087182890972778,32.0,22.1,0,0
2018-02-10,0.9205865878361772,52.0,30.2,0.16,0
2018-02-11,0.914048193454089,48.9,37.9,0.69,0
2018-02-12,0.9084195429080307,48.0,33.1,0,0
2018-02-13,0.9135048315166099,33.1,25.2,0,0
2018-02-14,0.9314434751399412,46.9,28.2,0,0
2018-02-15,0.9150565689098652,48.9,35.1,T,0
2018-02-16,0.9212554899426741,54.0,34.0,0.02,0
2018-02-17,0.9103599106178942,35.1,27.1,0.17,1.89
2018-02-18,0.8940977926220638,44.1,32.0,0.35,3.7
2018-02-19,0.9182699316721329,50.0,26.2,0.06,0
2018-02-20,0.9068821267329935,70.0,42.1,0.01,0
2018-02-22,0.9217911640694278,55.0,32.0,0.08,0.51
2018-02-23,0.8945770226635122,39.9,31.1,0.12,0
2018-02-24,0.9222319886754393,55.0,37.0,0,0
2018-02-25,0.9185540192105026,41.0,37.0,0.51,T
2018-02-26,0.9128727305630066,51.1,37.9,0,0
2018-02-27,0.9291120693043975,53.1,36.0,0,0
2018-02-28,0.9349274830092016,60.1,39.0,0.01,0
2018-03-01,0.913596640654922,60.1,39.9,0,0
2018-03-02,0.8872501837448108,43.0,35.1,2.3,T
2018-03-03,0.9299139765634935,43.0,37.0,T,0
2018-03-04,0.9162069709494954,41.0,36.0,T,T
2018-03-05,0.917740466380595,44.1,32.0,0.05,0.59
2018-03-06,0.9261023191243747,37.0,33.1,T,T
2018-03-07,0.9223022425281716,39.0,33.1,0.55,2.52
2018-03-08,0.9215813881035383,37.9,31.1,0.71,3.9
