date,ontime,high,low,precip,snow
2018-01-01,0.9040948713820096,13.1,0.1,0,0
2018-01-02,0.8810932744708152,19.2,4.1,0,0
2018-01-03,0.8555648353522113,29.1,16.2,0,0
2018-01-04,0.847338741330806,30.2,22.1,1.35,13.39
2018-01-05,0.8154324987620059,24.3,6.3,0,0
2018-01-08,0.8625869986314159,35.1,17.2,T,T
2018-01-09,0.9390945472109282,43.0,31.1,0,0
2018-01-10,0.8792089188919414,36.0,25.2,0,0
2018-01-11,0.9348660786090338,51.1,33.1,0,0
2018-01-12,0.9347266021959353,60.1,39.0,0.62,0
2018-01-15,0.8686396927989805,21.2,12.2,T,0.31
2018-01-16,0.9530140170712782,33.1,20.1,0,0
2018-01-17,0.9244854252417946,34.0,31.1,0.21,1.69
2018-01-18,0.9298569171825868,32.0,21.2,0,0
2018-01-19,0.9060274992145626,34.0,23.2,0,0
2018-01-22,0.9290106486859349,39.0,34.0,0.06,0
2018-01-23,0.9146961246963488,55.0,32.0,1.26,0
2018-01-24,0.9289067942716311,42.1,24.3,0,0
2018-01-25,0.9189180667170489,30.2,21.2,0,0
2018-01-26,0.904365265839001,34.0,19.2,0,0
2018-01-29,0.9015785774251298,43.0,28.2,T,0.12
2018-01-30,0.9070712635899792,31.1,20.1,0.15,2.28
2018-01-31,0.8748509328520934,30.2,18.1,0,0
2018-02-01,0.9064056207027795,46.0,30.2,0.04,0
2018-02-02,0.8886520244901555,37.9,12.2,0.25,0.12
2018-02-05,0.9089801550510058,43.0,24.3,0.36,0
2018-02-06,0.9298358229072079,34.0,22.1,T,T
2018-02-07,0.9298168517753413,43.0,23.2,0.65,2.09
2018-02-08,0.8436821921956986,34.0,22.1,0,0
2018-02-09,0.8990568178801501,32.0,22.1,0,0
2018-02-12,0.9007284620303259,48.0,33.1,0,0
2018-02-13,0.9344712983790836,33.1,25.2,0,0
2018-02-14,0.941306584353725,46.9,28.2,0,0
2018-02-15,0.9327329473698225,48.9,35.1,T,0
2018-02-16,0.9326860598426555,54.0,34.0,0.02,0
2018-02-19,0.9107931077287483,50.0,26.2,0.06,0
2018-02-20,0.910809275847378,70.0,42.1,0.01,0
2018-02-22,0.9382198913191354,55.0,32.0,0.08,0.51
2018-02-23,0.8967481753101826,39.9,31.1,0.12,0
2018-02-26,0.925457856213379,51.1,37.9,0,0
2018-02-27,0.9202113131149006,53.1,36.0,0,0
2018-02-28,0.9548428209574641,60.1,39.0,0.01,0
2018-03-01,0.9290565282405735,60.1,39.9,0,0
2018-03-02,0.8781022733117786,43.0,35.1,2.3,T
2018-03-05,0.9250484078852991,44.1,32.0,0.05,0.59
2018-03-06,0.9422142195304813,37.0,33.1,T,T
2018-03-07,0.9508660353541566,39.0,33.1,0.55,2.52
2018-03-08,0.908733914082781,37.9,31.1,0.71,3.9
2018-03-09,0.9069874875217997,37.0,29.1,T,T
2018-03-12,0.9136744670301145,42.1,29.1,T,0
2018-03-13,0.7517517385638599,37.9,28.2,1.15,14.49
2018-03-14,0.9056966049788868,41.0,29.1,0.03,0.31
2018-03-15,0.9244904572382644,43.0,32.0,0.01,0.12
2018-03-16,0.9445891263664387,37.9,28.2,0,0
2018-03-19,0.9135065623081916,37.9,21.2,0,0
2018-03-20,0.8876397087518372,39.0,24.3,0,0
2018-03-21,0.9269850147710296,39.0,32.0,T,0
2018-03-22,0.9237273288661968,42.1,32.0,0.09,1.3
2018-03-23,0.9072585456208322,42.1,35.1,0,0
2018-03-26,0.9226345631544803,39.9,29.1,0,0
2018-03-27,0.9234983674191358,42.1,28.2,0,0
2018-03-28,0.9289164680901043,54.0,36.0,0.01,0
2018-03-29,0.8910849076072579,50.0,37.0,0.01,0
2018-03-30,0.8552182057947332,64.0,43.0,0.08,0
2018-04-02,0.9264602614930763,39.9,31.1,0.11,0.71
2018-04-03,0.9459408018035218,48.0,32.0,0.47,0
2018-04-04,0.9260525376526145,57.9,39.0,0.2,0
2018-04-05,0.9390908401036958,43.0,30.2,0,0
2018-04-06,0.9409283975611125,43.0,29.1,0.21,0.59
2018-04-09,0.9160191741535674,46.0,30.2,0,0
2018-04-10,0.9212516699768658,41.0,35.1,T,0
2018-04-11,0.9037454176753784,45.0,30.2,0,0
2018-04-12,0.8913767853635037,55.0,36.0,0.06,0
2018-04-13,0.9268532735547876,69.1,44.1,T,0
2018-04-16,0.9130014047976098,53.1,36.0,1.57,0
2018-04-17,0.9344895479790655,50.0,39.9,0,0
2018-04-18,0.9140737083026176,53.1,36.0,0,0
2018-04-19,0.9122682783382489,44.1,36.0,0.23,T
2018-04-20,0.9155678205883903,53.1,36.0,0,0
2018-04-23,0.8848533953001345,57.9,43.0,0,0
2018-04-24,0.929764416309075,69.1,42.1,0,0
2018-04-25,0.9414987598415617,55.9,46.9,0.72,0
2018-04-26,0.9247989390534579,68.0,50.0,0.21,0
2018-04-27,0.905336356368844,57.0,46.0,0.54,0
2018-04-30,0.8943559846934463,48.0,39.9,0.2,0
2018-05-01,0.9121758401443887,66.9,44.1,0,0
2018-05-02,0.9133181373738347,89.1,57.9,0,0
2018-05-03,0.8300314317314997,90.0,61.0,0.09,0
2018-05-04,0.9386035581501366,82.0,57.0,T,0
2018-05-07,0.9253327753362434,61.0,48.0,0,0
2018-05-08,0.9338692515502486,60.1,45.0,0,0
2018-05-09,0.9292443523049878,63.0,46.0,T,0
2018-05-10,0.9272672653625461,71.1,48.9,0,0
2018-05-11,0.9346641796278404,70.0,52.0,0,0
2018-05-14,0.9080112834227099,69.1,48.9,0,0
2018-05-15,0.9140745791978349,84.9,57.9,1,0
2018-05-16,0.9180437205948814,62.1,50.0,T,0
2018-05-17,0.9322412785988747,71.1,51.1,0,0
2018-05-18,0.8677358078996119,64.9,46.9,0,0
2018-05-21,0.9263126111337082,80.1,57.0,0,0
2018-05-22,0.9308706222367958,66.9,54.0,0.03,0
2018-05-23,0.9182585909574009,84.0,54.0,0.02,0
