date,ontime,high,low,precip,snow
2017-01-01,0.9334320327800927,44.1,33.1,0.07,0
2017-01-02,0.9574233337640295,41.0,28.2,T,0
2017-01-03,0.9517979893154779,44.1,39.9,0.89,0
2017-01-04,0.9362503632798377,48.0,33.1,0.06,T
2017-01-05,0.9293146891559002,34.0,27.1,0,0
2017-01-06,0.9244309961268942,31.1,24.3,0.06,1.1
2017-01-07,0.9131011300586365,24.3,17.2,0.53,7.01
2017-01-08,0.9182357113835414,22.1,13.1,0.01,0.2
2017-01-09,0.9215931022485309,20.1,11.1,0,0
2017-01-10,0.92100908380989,39.0,16.2,0.14,0
2017-01-11,0.9392222411032894,55.0,39.0,0.09,0
2017-01-12,0.9389713389144917,61.0,41.0,0.15,0
2017-01-13,0.9254028473353167,57.9,25.2,0,0
2017-01-14,0.9473079120626458,31.1,18.1,0,0
2017-01-15,0.9485510320174941,37.0,27.1,0,0
2017-01-16,0.9335535462178436,42.1,23.2,0,0
2017-01-17,0.9204926888771021,42.1,32.0,0.3,T
2017-01-18,0.9359085263782315,39.9,32.0,0.36,0
2017-01-19,0.9358967249198429,46.0,31.1,0,0
2017-01-20,0.9247196342450078,39.9,34.0,0,0
2017-01-21,0.9386089748501518,55.0,37.0,0,0
2017-01-22,0.9405550050949306,48.0,39.0,0.06,0
2017-01-23,0.9248884817036467,39.9,35.1,0.31,T
2017-01-24,0.9271267911434071,42.1,35.1,1.09,T
2017-01-25,0.935507879697876,44.1,36.0,0.02,0
2017-01-26,0.9392825318762118,51.1,37.0,0.05,0
2017-01-27,0.9416159057850798,44.1,36.0,T,T
2017-01-28,0.9468742404426346,39.9,32.0,0,0
2017-01-29,0.9492624867776367,43.0,30.2,0,0
2017-01-30,0.9473434279965683,36.0,24.3,0,0
2017-01-31,0.9271484354533098,28.2,20.1,0.06,0.59
2017-02-01,0.9482189983323196,43.0,27.1,0.05,0.79
2017-02-02,0.9365052985079863,39.9,29.1,0,0
2017-02-03,0.936596173481055,33.1,25.2,0,0
2017-02-04,0.951526760599099,33.1,21.2,0,0
2017-02-05,0.9477317631320252,44.1,26.2,0,0
2017-02-06,0.919125409282896,39.0,32.0,0,0
2017-02-07,0.9441885988187362,37.9,33.1,0.44,1.18
2017-02-08,0.9308153629799076,52.0,25.2,0.02,0
2017-02-09,0.9021015133603987,39.0,11.1,1.25,10.91
2017-02-10,0.8866732602193751,25.2,11.1,T,T
2017-02-11,0.9090224734315533,30.2,15.3,0.21,3.19
2017-02-12,0.9061309459412673,35.1,19.2,0.77,1.5
2017-02-13,0.8972627444077178,34.0,24.3,0.09,2.2
2017-02-14,0.9098355073821358,34.0,22.1,0,0
2017-02-15,0.9285587478079029,39.9,27.1,0.22,0.12
2017-02-16,0.9492341064425069,35.1,27.1,0.07,1.61
2017-02-17,0.9289277742644382,41.0,23.2,0,0
2017-02-18,0.9433305851095922,48.9,26.2,0,0
2017-02-19,0.9257355000507138,59.0,39.0,0,0
2017-02-20,0.9260742546586843,48.0,33.1,0,0
2017-02-21,0.9324147552201719,39.9,30.2,0,0
2017-02-22,0.9489213582802882,55.9,37.9,0,0
2017-02-23,0.9401590487836878,68.0,39.0,0,0
2017-02-24,0.9492145099466323,73.0,46.0,0,0
2017-02-25,0.9449824818809648,69.1,48.9,0.1,0
2017-02-26,0.9410582942506384,48.9,32.0,0,0
2017-02-27,0.9502774649290864,55.0,30.2,0,0
2017-02-28,0.93716739458466,51.1,39.0,0,0
2017-03-01,0.9417658188683518,63.0,48.0,0.02,0
2017-03-02,0.9369164151584769,57.9,31.1,0,0
2017-03-03,0.9315946088918806,36.0,20.1,T,0.12
2017-03-04,0.7604959731927272,21.2,10.2,0,T
2017-03-05,0.8089784182563473,32.0,9.1,0,0
2017-03-06,0.9332882516928179,37.0,16.2,0,0
2017-03-07,0.9415142334987409,48.0,30.2,0.02,0
2017-03-08,0.9478374306377481,57.0,43.0,0.05,0
2017-03-09,0.9372182267223442,51.1,37.9,0,0
2017-03-10,0.9187917527096247,37.9,23.2,0.2,2.6
2017-03-11,0.7648719323890603,23.2,10.2,0.02,0.2
2017-03-12,0.809119371459494,27.1,9.1,0,0
2017-03-13,0.9186433498362556,34.0,14.2,0,0
2017-03-14,0.9231267426842175,37.9,27.1,1.62,6.61
2017-03-15,0.9248005075789327,28.2,19.2,0,0
2017-03-16,0.9369523207377735,35.1,22.1,0,0
2017-03-17,0.9437796563070654,42.1,27.1,0,0
2017-03-18,0.9333933240008966,36.0,24.3,0,0
2017-03-19,0.9574260611390454,37.9,31.1,0.01,T
2017-03-20,0.9369667338128114,53.1,32.0,0,0
2017-03-21,0.9485826056738902,53.1,39.9,0,0
2017-03-22,0.9373053313252294,43.0,18.1,T,T
2017-03-23,0.9275699009454169,37.9,18.1,0,0
2017-03-24,0.9426541049551433,46.9,27.1,0.03,T
2017-03-25,0.9346789185545514,46.9,34.0,0.08,0
2017-03-26,0.9386336180253696,41.0,30.2,T,0
