Day,"High

(°F)","Low

(°F)","Precip.

(inch)","Snow

(inch)","Snow
depth
(inch)"
1 jan 2018,13.1,0.1,0,0,-
2 jan 2018,19.2,4.1,0,0,-
3 jan 2018,29.1,16.2,0,0,-
4 jan 2018,30.2,22.1,1.35,13.39,-
5 jan 2018,24.3,6.3,0,0,-
6 jan 2018,12.2,1.2,0,0,-
7 jan 2018,17.2,-1.8,0,0,-
8 jan 2018,35.1,17.2,T,T,-
9 jan 2018,43,31.1,0,0,-
10 jan 2018,36,25.2,0,0,-
11 jan 2018,51.1,33.1,0,0,-
12 jan 2018,60.1,39,0.62,0,-
13 jan 2018,61,19.2,1.24,0,-
14 jan 2018,23.2,14.2,0,0,-
15 jan 2018,21.2,12.2,T,0.31,-
16 jan 2018,33.1,20.1,0,0,-
17 jan 2018,34,31.1,0.21,1.69,-
18 jan 2018,32,21.2,0,0,-
19 jan 2018,34,23.2,0,0,-
20 jan 2018,46.9,29.1,0,0,-
21 jan 2018,48.9,34,0,0,-
22 jan 2018,39,34,0.06,0,-
23 jan 2018,55,32,1.26,0,-
24 jan 2018,42.1,24.3,0,0,-
25 jan 2018,30.2,21.2,0,0,-
26 jan 2018,34,19.2,0,0,-
27 jan 2018,53.1,25.2,0,0,-
28 jan 2018,52,43,0.03,0,-
29 jan 2018,43,28.2,T,0.12,-
30 jan 2018,31.1,20.1,0.15,2.28,-
31 jan 2018,30.2,18.1,0,0,-
1 feb 2018,46,30.2,0.04,0,-
2 feb 2018,37.9,12.2,0.25,0.12,-
3 feb 2018,28.2,10.2,0,0,-
4 feb 2018,43,26.2,0.29,0,-
5 feb 2018,43,24.3,0.36,0,-
6 feb 2018,34,22.1,T,T,-
7 feb 2018,43,23.2,0.65,2.09,-
8 feb 2018,34,22.1,0,0,-
9 feb 2018,32,22.1,0,0,-
10 feb 2018,52,30.2,0.16,0,-
11 feb 2018,48.9,37.9,0.69,0,-
12 feb 2018,48,33.1,0,0,-
13 feb 2018,33.1,25.2,0,0,-
14 feb 2018,46.9,28.2,0,0,-
15 feb 2018,48.9,35.1,T,0,-
16 feb 2018,54,34,0.02,0,-
17 feb 2018,35.1,27.1,0.17,1.89,-
18 feb 2018,44.1,32,0.35,3.7,-
19 feb 2018,50,26.2,0.06,0,-
20 feb 2018,70,42.1,0.01,0,-
21 feb 2018,72,41,0,0,-
22 feb 2018,55,32,0.08,0.51,-
23 feb 2018,39.9,31.1,0.12,0,-
24 feb 2018,55,37,0,0,-
25 feb 2018,41,37,0.51,T,-
26 feb 2018,51.1,37.9,0,0,-
27 feb 2018,53.1,36,0,0,-
28 feb 2018,60.1,39,0.01,0,
1 mar 2018,60.1,39.9,0,0,-
2 mar 2018,43,35.1,2.3,T,-
3 mar 2018,43,37,T,0,-
4 mar 2018,41,36,T,T,-
5 mar 2018,44.1,32,0.05,0.59,-
6 mar 2018,37,33.1,T,T,-
7 mar 2018,39,33.1,0.55,2.52,-
8 mar 2018,37.9,31.1,0.71,3.9,-
9 mar 2018,37,29.1,T,T,-
10 mar 2018,39.9,33.1,T,T,-
11 mar 2018,44.1,31.1,0,0,-
12 mar 2018,42.1,29.1,T,0,-
13 mar 2018,37.9,28.2,1.15,14.49,-
14 mar 2018,41,29.1,0.03,0.31,-
15 mar 2018,43,32,0.01,0.12,-
16 mar 2018,37.9,28.2,0,0,-
17 mar 2018,42.1,19.2,0,0,-
18 mar 2018,33.1,16.2,0,0,-
19 mar 2018,37.9,21.2,0,0,-
20 mar 2018,39,24.3,0,0,-
21 mar 2018,39,32,T,0,-
22 mar 2018,42.1,32,0.09,1.3,-
23 mar 2018,42.1,35.1,0,0,-
24 mar 2018,46,34,0.01,T,-
25 mar 2018,39,32,0.07,0.12,-
26 mar 2018,39.9,29.1,0,0,-
27 mar 2018,42.1,28.2,0,0,-
28 mar 2018,54,36,0.01,0,-
